         1        666         76     237467.5    12.282     5.468    44.51   2
         2        900         49     211087.3    10.369     7.027    51.24   3
         3        860         60     944010.2    16.972     6.402    60.07  19
         4         23         60     91742.46     6.984     2.963     1.49  19
         5          2         66     118493.7     6.189     3.102    16.74  27
         6        702         69        16832     2.642     1.193     8.63   3
         7        898       1023      2872.56     1.237     0.704     4.06  24
         8        882       1021     2345.257     2.014     0.975     8.38  18
         9        436        984     114474.8    11.463     4.475    42.99  19
        10        454        984     73526.58    10.582     4.342    20.26  19
        11        370       1023     8236.052     2.829     1.374    11.82  26
        12        326       1023     9297.654     3.236     1.324    12.41  24
        13        353        847     17113.19     6.322     1.644    19.34   3
        14        635        959     7821.186     6.813     1.796    20.99   3
        15        397        932      36314.3     6.433     2.920    13.31   3
        16        385        933     24240.75     6.350     3.260    26.03   3
        17        284        780     19292.73     4.775     2.698    21.54   3
        18        514        935     15615.79     4.286     3.042    21.67   3
        19        207        917     112327.7    18.306     4.349    53.56   3
        20        267        784     25399.13     3.772     2.721    15.02   3
        21        230        932     2410.638     1.742     1.590     7.01   3
        22        269        888     4135.372     2.191     0.858     8.20   3
        23         76        776     7389.224     3.628     2.064    16.41   3
        24        200       1005     89956.61     9.152     6.089    30.78  19
        25        553        902     10998.93     7.232     1.019    16.28   3
        26        358        933     11695.16     2.163     2.128     7.71   3
        27        405        864     42778.75     6.004     3.889    27.27   3
        28        218        828     32337.38     5.531     2.563    22.59   3
        29        244        820     25177.49     4.722     2.690    21.39   3
        30        255        820      7499.33     2.076     1.918    11.96   3
        31        487        923     31484.38    10.315     2.260    28.98   3
        32        483        917     3280.607     2.230     0.933     8.63   3
        33        192        963     3225.337     1.536     1.165     6.89   3
        34        613        926      22997.8     6.620     1.292    17.55   3
        35        410        922     40541.47    13.593     1.739    29.18   3
        36        256        873     7285.464     2.714     1.094     9.37   3
        37        524        895     20811.83     3.521     2.149    11.67   3
        38        516        890     11065.91     2.278     2.101    12.68   3
        39        524        885     22570.99     5.935     1.745    19.31   3
        40        321        847     23713.94     4.567     2.020    16.71   3
        41        174        962     22058.46     4.790     3.002    20.17   3
        42        259        921     75687.52    13.023     2.610    35.00   3
        43        267        899     18465.44     6.287     1.272    16.97   3
        44        324        891     15741.18     3.753     2.021    14.90   3
        45        599        935     23823.93     4.172     2.113    13.46   3
        46        342        891     36558.12     6.840     2.266    20.04   3
        47        309        920     52961.41     4.538     3.599    21.28   3
        48        351        867     81880.98    15.811     2.226    35.61   3
        49        174        825     170836.2    18.444     3.576    48.75   3
        50        247        783     176112.8     4.978     4.640    15.50   3
        51        203        972     42340.91     5.129     3.185    20.91   3
        52        200        942     157091.2     8.916     8.140    34.21   3
        53        462        888     13688.85     3.095     1.839    13.88   3
        54        453        881      39845.4     7.733     2.284    25.22   3
        55        190        874     235472.1    18.863     4.787    57.04   3
        56        387        922     25310.23     4.063     1.583    15.21   3
        57        464        922     18086.94     2.829     2.282    12.03   3
        58        455        922     34414.04     5.401     2.616    22.55   3
        59        567        935     139609.8     9.274     3.038    17.30   3
        60        308        880     30029.96     2.704     2.408     8.91   3
        61        220        780       195366     5.021     3.317    12.88   3
        62        549        934      25368.5     4.898     1.706    17.34   3
        63        372        922     34787.77     3.961     2.489    13.39   3
        64        174        956     52582.21     5.519     2.760    16.30   3
        65        185        956     9585.392     2.846     1.000    10.10   3
        66        340        925     130355.4    11.890     3.023    35.99   3
